state,x,y
J&K,74.8,33.6
Ladakh,77.8,34.4
Himachal,77.2,32.0
Punjab,75.5,30.8
HR,76.2,29.1
Delhi,78.2,28.5
Uttarakhand,79.4,30.0
Rajasthan,73.8,26.5
Uttar Pradesh,80.5,27.0
Bihar,85.6,25.6
Jharkhand,85.1,23.6
WB,87.7,23.2
Sikkim,88.5,28.8
Assam,92.4,26.4
Arunachal,92.2,29
Nagaland,96.3,26.1
Manipur,96,24.4
Mizoram,94.5,23.0
Tripura,91.5,22.2
Meghalaya,91.2,25.2
Odisha,84.8,20.5
CG,82.0,21.7
Madhya Pradesh,78.0,23
Gujarat,71.8,23.2
Maharashtra,75.5,19.5
Telangana,79.2,17.8
Andhra,79,14.9
Karnataka,75.5,15.0
Tamil Nadu,78.4,10.7
Kerala,74.2,10.7
Goa,72.9,15.2
Puducherry,81.8,12
A&N Islands,93.0,10.0
Lakshadweep,70.5,10.5
DNHDD,71.6,19.8
Chandigarh,81,31.5



